B0CLML6FM8|Utile e ben fatto|E' uno dei resoconti piu' ordinati che abbia mai letto.C'e' una prefazione, abbastanza discorsiva. E' comunque espressione dell'autore, quindi c'e' il suo stile.C'e' un dettaglio degli eventi, spiegato a mio avviso bene e in modo abbastanza asettico.C'e' un'appendice finale con la cronistoria sintetica che ricorda i punti chiave.Credo sia normale che un essere umano scrivendo usi uno stile che tradisce lievemente il suo pensiero, i fatti sono comunque illustrati in modo esaustivo e cronologicamente esatto.La metafora dell'inversione di Davide e Golia per esempio serve a rappresentare un punto di rottura, ma se lo si interpreta come schieramento verso i palestinesi evidentemente non si e' compreso lo scopo.Bello e utile, e si legge in un lampo|9 persone l'hanno trovato utile
B0CLML6FM8|attuale|Bel libro attuale e snocciola le problematiche relative agli eterni conflitti tra israeliani e palestinesi. Un pò difficile per chi non conosce bene le dinamiche e quindi a volte è necessario un approfondimento ulteriore per capire alcuni passaggi ma sicuramente ben approfondito e scritto egregiamente|Una persona l'ha trovato utile
B0CLML6FM8|israele e palestinesi|interessante ma troppo denso di informazioni , date , avvenimenti|
B0CLML6FM8|Molto articolato|Il Giornalista indipendente per antonomasia è una garanzia.Tuttavia, nonostante la semplicità di linguaggio, il testo è molto articolato e a volte si perde il filo: i protagonisti e i fatti della storia di questa travagliata e devastata parte del mondo sono nominati/descritti tutti e sono tantissimi.Al termine della lettura la sensazione che si ha è veramente quella che viene anticipata in premessa: nelle vicende di questa Terra che una volta era promessa, ma ora è crivellata e martoriata, la ragione si confonde col torto e il torto con la ragione; nessuno ha torto e nessuno ragione, tutti hanno torto e tutti ragione.|6 persone l'hanno trovato utile
B0CLML6FM8|Buono per una visione a volo d'uccello|Fornisce una ossatura cronologica degli eventi a chi non conosca il tema. Non sempre condivido il punto di vista di Travaglio, ma scritto da una persona seria.|Una persona l'ha trovato utile
B0CLML6FM8|Interessante|Tenuto conto che la situazione in Israele e Palestina è molto complessa il libro cerca di ricostruire in modo per lo più imparziale le colpe degli uno e degli altri. È scritto bene, ma non è sufficiente a formarsi un’opinione.|Una persona l'ha trovato utile
B0CLML6FM8|Carino|Apprezzo molto Marco Travaglio ma il suo modo di scrivere lo trovo abbastanza confuso e poco approfondito in questo testo.Sto cercando di finirlo ma la sintassi è davvero contorta a volte e fa perdere facilmente il filo del discorso.|Una persona l'ha trovato utile
B0CLML6FM8|Una bussola per orientarsi sull'esterno conflitto in Medio Oriente.|Travaglio con il suo stile essenziale racconta più di sessant'anni di storia della Palestina. Un eterno conflitto che sembra non dover finire mai. Un libro da leggere per farsi un'idea di quello che sta accadendo in Medio Oriente e non solo.|2 persone l'hanno trovato utile
B0CLML6FM8|Non così semplice|Quasi inevitabilmente chi sa ha difficoltà a mettersi nei panni di chi ignora. Occorre ricorrere qualche volta documentarsi su Internet per comprendere appieno|Una persona l'ha trovato utile
B0CLML6FM8|Bel libro|Non ho terminato ancora la lettura ma personalmente risulta facile nella lettura e comprensibile|Una persona l'ha trovato utile
B0CLML6FM8|Molto interessante|Per orientarsi un po' in un tema così importante e complicatissimo.|Una persona l'ha trovato utile
B0CLML6FM8|Necessario|Ben scritto e interessante anche per chi non è del tutto digiuno dell'argomento. Un utile lettura per capire qualcosa in più di quello che sta succedendo.|Una persona l'ha trovato utile
B0CLML6FM8|Interessante|Libro interessante ed informativo|Una persona l'ha trovato utile
B0CLML6FM8|In poche parole spledido|In poche parole splendido ma soprattuto utile per chi vuole approfondire un po’ la storia e darsi una visione d’insieme e poter contestualizzare meglio la situazione.|Una persona l'ha trovato utile
B0CLML6FM8|Primissimo approccio|Lettura sufficiente per un primissimo approccio generalistico sull'argomento. Stile e linguaggio giornalistici. Presenti generalizzazioni.|2 persone l'hanno trovato utile
B0CLML6FM8|OK|OK|
B0CLML6FM8|Ottimo|Bello.|Una persona l'ha trovato utile
B0CLML6FM8|Informato|Inutile, girarci intorno, Travaglio e' un vero giornalista.|2 persone l'hanno trovato utile
B0CLML6FM8|Un ottimo inizio per capire la situazione israelo-palestinese|Il libro dà delle ottime basi per un primo approccio. Chiaramente, bisogna poi approfondire ulteriormente per conto proprio. Nel complesso, lo consiglio.|
B0CLML6FM8|Utile per iniziare a conoscere e capire|Sintetico ma accurato ed opportuno viaggio nel conflitto israelo-palestinese. Si legge facilmente e con piacere. Lo stile è giornalistico, efficace e, secondo lo stilr di Travaglio, basato su documenti. Si possono avere opinioni diverse su alcuni punti ma e' un lavoro ben fatto. Utile in un momento nel quale essere tifosi sembra prevalere sul capire la realtà, cosa ancor più difficile per noi occidentali quando si parla di Medio Oriente|4 persone l'hanno trovato utile
